Timestamp,Vehicle_Count,Traffic_Speed_kmh,Road_Occupancy_%,Traffic_Light_State,Weather_Condition,Accident_Report,Traffic_Condition,Hour,DayOfWeek,Date
2024-03-01 00:00:00,205,49.89343479610332,82.65277992850861,Yellow,Clear,0,High,0,Friday,2024-03-01
2024-03-01 00:05:00,202,22.38396487008785,45.82929780270145,Green,Clear,0,High,0,Friday,2024-03-01
2024-03-01 00:10:00,252,46.88969943933488,82.77246480269831,Green,Rain,0,High,0,Friday,2024-03-01
2024-03-01 00:15:00,37,5.73053642288215,37.69556743980888,Red,Fog,0,High,0,Friday,2024-03-01
2024-03-01 00:20:00,64,61.34803435570192,22.31335794983795,Red,Rain,0,Low,0,Friday,2024-03-01
2024-03-01 00:25:00,125,9.15074562077742,72.79990343468822,Green,Clear,0,High,0,Friday,2024-03-01
2024-03-01 00:30:00,125,9.162774286317184,34.18201801274164,Green,Rain,0,High,0,Friday,2024-03-01
2024-03-01 00:35:00,130,40.993622396031405,40.42793231937237,Yellow,Clear,0,Medium,0,Friday,2024-03-01
2024-03-01 00:40:00,67,73.90533684403202,80.60737469182321,Green,Clear,0,High,0,Friday,2024-03-01
2024-03-01 00:45:00,12,65.53559165495976,47.11495674614308,Green,Fog,0,Low,0,Friday,2024-03-01
2024-03-01 00:50:00,117,60.481377184050814,56.001738449270526,Green,Fog,0,Medium,0,Friday,2024-03-01
2024-03-01 00:55:00,12,38.73987429516659,69.65316330616227,Green,Fog,0,Medium,0,Friday,2024-03-01
2024-03-01 01:00:00,97,61.94792468231577,17.328211252878866,Red,Fog,0,Low,1,Friday,2024-03-01
2024-03-01 01:05:00,265,64.42220656036997,94.97458762743562,Yellow,Rain,0,High,1,Friday,2024-03-01
2024-03-01 01:10:00,187,24.435895690008063,47.48922185752585,Red,Rain,0,Medium,1,Friday,2024-03-01
2024-03-01 01:15:00,139,21.67302311052592,45.85708774128288,Red,Clear,0,Medium,1,Friday,2024-03-01
2024-03-01 01:20:00,298,39.8146802697647,73.0033476502656,Green,Fog,0,High,1,Friday,2024-03-01
2024-03-01 01:25:00,168,71.17270013565329,90.3311355095128,Red,Rain,0,High,1,Friday,2024-03-01
2024-03-01 01:30:00,188,50.22358935829257,85.22206471130797,Yellow,Rain,0,High,1,Friday,2024-03-01
2024-03-01 01:35:00,176,19.51636298845032,89.38515987287367,Green,Rain,0,High,1,Friday,2024-03-01
2024-03-01 01:40:00,38,60.81684312012823,48.5543592082827,Red,Clear,0,Low,1,Friday,2024-03-01
2024-03-01 01:45:00,113,36.09859481632135,82.04990255159494,Green,Clear,0,High,1,Friday,2024-03-01
2024-03-01 01:50:00,56,57.38454322166173,24.764000188126225,Green,Rain,0,Low,1,Friday,2024-03-01
2024-03-01 01:55:00,114,79.99755567864995,25.02061511790715,Yellow,Rain,0,Medium,1,Friday,2024-03-01
2024-03-01 02:00:00,17,71.09147217572958,78.95197163446714,Yellow,Clear,0,Medium,2,Friday,2024-03-01
2024-03-01 02:05:00,80,47.49605859316661,63.05449092372216,Red,Clear,0,Medium,2,Friday,2024-03-01
2024-03-01 02:10:00,231,26.915595300879552,24.62641256418302,Yellow,Rain,0,High,2,Friday,2024-03-01
2024-03-01 02:15:00,175,74.60523206298218,92.46344883603,Red,Clear,0,High,2,Friday,2024-03-01
2024-03-01 02:20:00,188,15.567148469930748,54.77980321069173,Green,Fog,0,High,2,Friday,2024-03-01
2024-03-01 02:25:00,167,48.58248889932586,39.12002346933019,Green,Fog,0,Medium,2,Friday,2024-03-01
2024-03-01 02:30:00,91,77.62586240471275,39.72487960283732,Yellow,Rain,0,Low,2,Friday,2024-03-01
2024-03-01 02:35:00,232,31.17867378139349,92.06030033344884,Green,Fog,0,High,2,Friday,2024-03-01
2024-03-01 02:40:00,218,54.07900288400693,52.49588573785195,Red,Fog,0,High,2,Friday,2024-03-01
2024-03-01 02:45:00,178,45.1138083631014,40.98205381654071,Red,Clear,0,Medium,2,Friday,2024-03-01
2024-03-01 02:50:00,184,55.88293041200885,39.04751330746949,Yellow,Fog,0,Medium,2,Friday,2024-03-01
